Country,CO₂ Emission(2000),CO₂ Emission(2005),CO₂ Emission(2010),CO₂ Emission(2015),CO₂ Emission(2020),CO₂ Emission(2021)
Afghanistan,1047127.94,1889507.0,8364803.5,9791093.0,11681766.0,11874211.0
Albania,3024926.0,4261413.0,4783865.0,4712137.0,4728559.0,4619109.0
Algeria,82221010.0,106472840.0,117813010.0,160087460.0,172504460.0,176269070.0
Andorra,523952.0,575248.0,516623.97,465328.0,448884.0,452888.0
Angola,9516064.0,19005990.0,28864504.0,25530950.0,20275732.0,21362716.0
Anguilla,87936.0,128240.01,150224.0,153888.0,131390.0,144744.0
Antigua and Barbuda,293120.0,373728.0,454336.0,479984.0,425453.0,468695.0
Argentina,142358350.0,161434200.0,186733140.0,191743840.0,169262690.0,186448290.0
Armenia,3491407.0,4376169.0,4252750.0,5469323.0,6430661.0,6806045.0
Aruba,2377936.0,2718688.0,2506176.0,897680.0,778954.0,858126.0
Australia,349635500.0,386153540.0,405103330.0,401793060.0,399922100.0,391187420.0
Austria,66149780.0,79078110.0,72006410.0,66348824.0,62037450.0,64625588.0
Azerbaijan,29506320.0,34286420.0,30632888.0,34682944.0,37508016.0,38492804.0
Bahamas,2026192.0,1905280.0,1901616.0,2136112.0,2166673.0,2386463.0
Bahrain,18794084.0,19804052.0,29075436.0,32459648.0,37602748.0,39016090.0
Bangladesh,26524610.0,37676584.0,53991556.0,73157550.0,90825304.0,93175944.0
Barbados,1151592.0,1319152.0,1464008.0,1305336.0,1021585.94,1125301.0
Belarus,54905984.0,59310284.0,62445120.0,58798910.0,58592040.0,59602456.0
Belgium,126719540.0,125636390.0,114557864.0,101061720.0,90368010.0,95722280.0
Belize,395712.0,421360.0,538608.0,641200.0,614674.0,689321.0
Benin,1472928.0,2489730.0,4679390.0,5328876.0,7263804.0,7755815.0
Bermuda,516623.97,582576.0,608224.0,538608.0,497405.0,547960.0
Bhutan,382875.0,378475.0,464723.0,965039.0,1499693.0,1522086.0
Bolivia,8468518.0,11164986.0,15499395.0,21242198.0,21067598.0,23321668.0
Bonaire Sint Eustatius and Saba,71440.0,72980.0,58048.0,95264.0,93850.0,103389.0
Bosnia and Herzegovina,13702201.0,16045984.0,21145704.0,18460492.0,20932950.0,13566311.0
Botswana,3777584.0,4092688.0,4537275.0,5421209.0,6258589.0,6499919.0
Brazil,340183000.0,364371000.0,440269020.0,529353020.0,442306000.0,488881100.0
British Virgin Islands,124576.0,179536.0,197856.0,212512.0,143903.0,158529.0
Brunei,4590992.0,4869456.0,8060799.5,6933294.0,10553166.0,10480519.0
Bulgaria,45464332.0,50654404.0,47858924.0,48260532.0,36967110.0,42560212.0
Burkina Faso,1029710.06,1122080.0,2036372.0,3714985.0,5388991.0,5698262.0
Burundi,271136.0,153888.0,296784.0,394157.0,657129.0,692908.0
Cambodia,1974896.0,2773648.0,5078142.0,8365610.0,18703284.0,19028598.0
Cameroon,3345986.0,3591290.0,6662047.0,9850670.0,9007287.0,9297284.0
Canada,566690400.0,574653630.0,556560600.0,574298240.0,534863840.0,545634500.0
Cape Verde,296784.0,447008.0,556928.0,490976.0,625080.0,667694.0
