Country,City,CO,NH3,NO,NO2,O3,PM10,PM2_5,SO2,AQI
Afghanistan,Kabul,186.92,0.47,0.08,0.41,120.16,8.24,3.64,0.24,3
Albania,Tirana,260.35,7.03,0.71,8.91,231.74,23.26,21.09,0.85,5
Algeria,Algiers,317.1,0.08,1.84,16.11,158.79,206.1,39.97,3.16,5
Angola,Luanda,2643.59,34.96,3.69,56.21,234.6,351.28,267.81,34.33,5
Argentina,Buenos Aires,327.11,1.3,1.02,28.45,15.74,3.73,2.11,12.99,1
Armenia,Yerevan,178.58,1.12,0.12,0.67,108.72,1.41,1.32,0.18,3
Australia,Canberra,208.62,0.31,0.02,4.07,32.9,2.71,2.16,0.35,1
Austria,Vienna,236.99,0.55,0.14,2.29,56.51,2.65,2.32,0.62,1
Azerbaijan,Baku,210.29,0,0.3,4.16,115.87,7.56,6.4,2.3,3
The Bahamas,"Nassau, Bahamas",230.31,0.43,0.03,0.87,73.67,1.55,1.12,0.44,2
Bahrain,Manama,201.94,0,0.28,3.43,197.41,353.14,116.03,24.08,5
Bangladesh,Dhaka,383.85,2.82,0.77,14.74,20.92,5.82,4.07,2.95,1
Barbados,Bridgetown,178.58,0.31,0,1.46,36.84,24.31,9.77,1.71,2
Belarus,Minsk,193.6,0.73,0.03,0.8,86.55,2.93,2.86,0.62,2
Belgium,City of Brussels,195.27,1.82,0.28,4.76,66.52,8.12,5.35,2.06,2
Belize,Belmopan,140.19,0,0,0.13,7.42,10.11,9.49,0.06,1
Benin,Porto-Novo,587.46,2.6,0.12,3.86,44.7,13.78,8.89,2.18,1
Bhutan,Thimphu,320.44,1.41,0.02,0.63,44.7,11.14,9.82,1.89,1
Bolivia,Sucre,180.24,0.9,0,1.71,39.34,6.21,2.09,0.27,1
Bosnia and Herzegovina,Sarajevo,191.93,0.61,0.15,0.85,95.84,14.69,7.38,8.35,2
Botswana,Gaborone,260.35,0.41,0.71,1.89,55.08,5.74,3.92,1.39,1
Brazil,Brasilia,240.33,4.94,0.04,6.26,16.45,11.37,5.21,0.75,1
Brunei,Bandar Seri Begawan,300.41,0.1,0.01,1.74,27.9,2.82,2.44,0.72,1
Bulgaria,Sofia,196.93,0.71,0.1,0.68,113.01,10.57,8.04,1.76,3
Burkina Faso,Ouagadougou,554.09,4.88,0.21,2.16,22.71,16.26,7.85,1.57,1
Burundi,Bujumbura,347.14,2.76,0.07,0.42,52.21,11.15,7.47,0.44,1
Ivory Coast,Yamoussoukro,367.17,0.26,0.01,0.54,22.53,4.58,3.45,0.15,1
Cape Verde,Praia,205.28,4.24,0.34,1.18,40.77,23.49,8.15,0.3,2
Cambodia,Phnom Penh,337.12,3.55,0.31,4.11,22.35,9.18,2.99,2.41,1
Cameroon,Yaounde,547.41,0.42,0.04,0.59,41.13,5.03,3.85,0.27,1
Canada,Ottawa,118.49,0.14,0.19,1.18,2.15,0.6,0.5,0.06,1
Central African Republic,Bangui,453.95,0.2,0.01,0.03,3.35,1.73,1.53,0.01,1
Chad,N'Djamena,587.46,3.04,0.1,0.46,21.99,6.54,4.85,0.92,1
Chile,Santiago,6729.13,100.32,29.5,89.11,0,688.62,569.12,52.93,5
China,Beijing,974.66,0.21,39.79,105.56,7.24,101.12,85.72,101.09,5
Colombia,Bogota,373.84,1.65,11.62,4.76,0,12.52,10.8,0.68,2
Comoros,Moroni,236.99,0.1,0.02,0.17,53.64,10.58,4.37,0.55,1
Republic of the Congo,Brazzaville,647.54,5,0.28,2.01,88.69,74.95,37.99,1.71,3
Costa Rica,San Jose,273.71,2.53,0.16,30.85,11.62,6.42,3.63,3.22,1
Croatia,Zagreb,233.65,0.82,0.07,1.08,83.69,10.13,6.27,0.49,2
Cuba,Havana,257.02,0.55,0.03,6.17,19.31,12.96,4.13,19.31,1
Cyprus,Nicosia,206.95,1.31,0.05,0.33,113.01,3.14,2.86,0.63,3
Czech Republic,Prague,201.94,3.17,0.35,5.91,90.84,6.25,4.81,5.54,2
Democratic Republic of the Congo,Kinshasa,647.54,5,0.28,2.01,88.69,74.95,37.99,1.71,3
Denmark,Copenhagen,171.9,0.91,0.09,2.01,75.82,4.18,3.55,0.94,2
Djibouti,Djibouti City,317.1,0.38,0.03,0.17,65.09,67.05,18.59,0.16,3
Dominican Republic,Santo Domingo,367.17,14.44,9.39,11.82,0.01,9.37,6.86,9.78,1
Ecuador,Quito,2536.77,41.54,50.96,90.48,0,46.95,43.37,76.29,3
Egypt,Cairo,206.95,6.78,0.33,2.64,154.5,12.27,8.45,5.19,4
El Salvador,San Salvador,407.22,3.83,1.08,8.14,1.99,23.04,16.15,10.25,2
Equatorial Guinea,Malabo,560.76,0.23,0.02,0.16,67.23,3.91,3.13,0.52,2
Eritrea,Asmara,230.31,0.37,0.01,0.04,43.99,82.63,17.93,0.11,3
Estonia,Tallinn,203.61,0.71,0.35,5.57,101.57,9.69,9.01,2.89,3
Ethiopia,Addis Ababa,260.35,1.01,0.02,0.1,43.63,94.47,11.38,0.2,3
Fiji,Suva,211.95,0.16,0,1.1,44.35,11.22,3.59,1.49,1
Finland,Helsinki,208.62,1.2,1.73,9.43,110.15,10.8,7.83,5.42,3
France,Paris,178.58,0.82,0.43,2.4,65.8,4.6,3.33,1.54,2
Gabon,Libreville,1468.66,19,0.76,7.97,131.61,82.48,72.83,17.64,4
The Gambia,Banjul,387.19,1.17,0.12,0.64,37.19,5.87,3.54,0.6,1
Georgia,Tbilisi,176.91,0.56,0.09,0.46,90.84,1.4,1.27,0.28,2
Germany,Berlin,176.91,2.03,0.36,1.95,104.43,5.39,3.8,2.56,3
Ghana,Accra,587.46,5.19,0.11,8.48,40.41,15.38,8.94,5.25,1
Greece,Athens,230.31,0.26,0.59,5.44,185.97,14.45,13.73,19.07,5
Grenada,St. George's,176.91,0,0,0.32,37.19,21,8.48,0.44,2
Guatemala,Guatemala City,620.84,16.21,1.23,6.94,0.87,50.41,26.43,17.64,3
Guinea,Conakry,383.85,0,0.01,0.12,57.22,6.44,1.41,0.11,1
Guinea-Bissau,Bissau,347.14,0.68,0.09,0.4,34.33,2.54,1.37,0.67,1
Guyana,Georgetown,460.63,0.37,0.11,8.14,71.53,10.28,8.91,3.43,2
Haiti,Port-au-Prince,397.21,5.07,0.01,7.54,18.42,8.1,3.93,4.89,1
Honduras,Tegucigalpa,240.33,0.27,0,0.96,21.28,2,0.59,0.34,1
Hungary,Budapest,236.99,0.61,0.1,1.07,80.11,3.67,3.46,0.86,2
Iceland,Reykjavik,191.93,0.09,0.02,0.11,56.51,0.71,0.5,0.26,1
India,New Delhi,1081.47,3.77,3.58,50.04,41.13,61.95,52.45,98.23,4
Indonesia,Jakarta,4539.49,11.91,1.75,149.43,94.41,263.63,217.68,79.16,5
Iran,Tehran,253.68,0.34,2.74,12,140.19,52.49,13.84,11.92,4
