Country,Capital/Major City,Density(P/Km2),Population,Urban_population,Land Area(Km2),Agricultural Land( %),Forested Area (%),Co2-Emissions,GDP,Life expectancy,Birth Rate,Maternal mortality ratio,Infant mortality,Latitude,Longitude
Afghanistan,Kabul,60,38041754,9797273,652230,58.1,2.1,8672,19101353833,64.5,32.49,638,47.9,33.93911,67.709953
Albania,Tirana,105,2854191,1747593,28748,43.1,28.1,4536,15278077447,78.5,11.78,15,7.8,41.153332,20.168331
Algeria,Algiers,18,43053054,31510100,2381741,17.4,0.8,150006,1.70E+11,76.7,24.28,112,20.1,28.033886,1.659626
Angola,Luanda,26,31825295,21061025,1246700,47.5,46.3,34693,94635415870,60.8,40.73,241,51.6,-11.202692,17.873887
Argentina,Buenos Aires,17,44938712,41339571,2780400,54.3,9.8,201348,4.50E+11,76.5,17.02,39,8.8,-38.416097,-63.616672
Armenia,Yerevan,104,2957731,1869848,29743,58.9,11.7,5156,13672802158,74.9,13.99,26,11,40.069099,45.038189
Australia,Canberra,3,25766605,21844756,7741220,48.2,16.3,375908,1.39E+12,82.7,12.6,6,3.1,-25.274398,133.775136
Austria,Vienna,109,8877067,5194416,83871,32.4,46.9,61448,4.46E+11,81.6,9.7,5,2.9,47.516231,14.550072
Azerbaijan,Baku,123,10023318,5616165,86600,57.7,14.1,37620,39207000000,72.9,14,26,19.2,40.143105,47.576927
The Bahamas,"Nassau, Bahamas",39,389482,323784,13880,1.4,51.4,1786,12827000000,73.8,13.97,70,8.3,25.03428,-77.39628
Bahrain,Manama,"2,239",1501635,1467109,765,11.1,0.8,31694,38574069149,77.2,13.99,14,6.1,26.0667,50.5577
Bangladesh,Dhaka,"1,265",167310838,60987417,148460,70.6,11,84246,3.03E+11,72.3,18.18,173,25.1,23.684994,90.356331
Barbados,Bridgetown,668,287025,89431,430,23.3,14.7,1276,5209000000,79.1,10.65,27,11.3,13.193887,-59.543198
Belarus,Minsk,47,9466856,7482982,207600,42,42.6,58280,63080457023,74.2,9.9,2,2.6,53.709807,27.953389
Belgium,City of Brussels,383,11484055,11259082,30528,44.6,22.6,96889,5.30E+11,81.6,10.3,5,2.9,50.503887,4.469936
Belize,Belmopan,17,390353,179039,22966,7,59.7,568,1879613600,74.5,20.79,36,11.2,17.189877,-88.49765
Benin,Porto-Novo,108,11801151,5648149,112622,33.3,37.8,6476,14390709095,61.5,36.22,397,60.5,9.30769,2.315834
Bhutan,Thimphu,20,727145,317538,38394,13.6,72.5,1261,2446674101,71.5,17.26,183,24.8,27.514162,90.433601
Bolivia,Sucre,11,11513100,8033035,1098581,34.8,50.3,21606,40895322865,71.2,21.75,155,21.8,-16.290154,-63.588653
Bosnia and Herzegovina,Sarajevo,64,3301000,1605144,51197,43.1,42.7,21848,20047848435,77.3,8.11,10,5,43.915886,17.679076
