Country,Capital/Major City,Density(P/Km2),Population,Urban_population,Land Area(Km2),Agricultural Land( %),Forested Area (%),Co2-Emissions,GDP,Life expectancy,Birth Rate,Maternal mortality ratio,Infant mortality,Latitude,Longitude
Afghanistan,Kabul,60,"38,041,754","9,797,273","652,230",58.10,2.10,"8,672","19,101,353,833",64.5,32.49,638.0,47.9,33.93911,67.709953
Albania,Tirana,105,"2,854,191","1,747,593","28,748",43.10,28.10,"4,536","15,278,077,447",78.5,11.78,15.0,7.8,41.153332,20.168331
Algeria,Algiers,18,"43,053,054","31,510,100","2,381,741",17.40,0.80,"150,006","169,988,236,398",76.7,24.28,112.0,20.1,28.033886,1.659626
Angola,Luanda,26,"31,825,295","21,061,025","1,246,700",47.50,46.30,"34,693","94,635,415,870",60.8,40.73,241.0,51.6,-11.202692,17.873887
Antigua and Barbuda,"St. John's, Saint John",223,"97,118","23,800",443,20.50,22.30,557,"1,727,759,259",76.9,15.33,42.0,5.0,17.060816,-61.796428
Argentina,Buenos Aires,17,"44,938,712","41,339,571","2,780,400",54.30,9.80,"201,348","449,663,446,954",76.5,17.02,39.0,8.8,-38.416097,-63.616672
Armenia,Yerevan,104,"2,957,731","1,869,848","29,743",58.90,11.70,"5,156","13,672,802,158",74.9,13.99,26.0,11.0,40.069099,45.038189
Australia,Canberra,3,"25,766,605","21,844,756","7,741,220",48.20,16.30,"375,908","1,392,680,589,329",82.7,12.6,6.0,3.1,-25.274398,133.775136
Austria,Vienna,109,"8,877,067","5,194,416","83,871",32.40,46.90,"61,448","446,314,739,528",81.6,9.7,5.0,2.9,47.516231,14.550072
Azerbaijan,Baku,123,"10,023,318","5,616,165","86,600",57.70,14.10,"37,620","39,207,000,000",72.9,14.0,26.0,19.2,40.143105,47.576927
The Bahamas,"Nassau, Bahamas",39,"389,482","323,784","13,880",1.40,51.40,"1,786","12,827,000,000",73.8,13.97,70.0,8.3,25.03428,-77.39628
Bahrain,Manama,"2,239","1,501,635","1,467,109",765,11.10,0.80,"31,694","38,574,069,149",77.2,13.99,14.0,6.1,26.0667,50.5577
Bangladesh,Dhaka,"1,265","167,310,838","60,987,417","148,460",70.60,11.00,"84,246","302,571,254,131",72.3,18.18,173.0,25.1,23.684994,90.356331
Barbados,Bridgetown,668,"287,025","89,431",430,23.30,14.70,"1,276","5,209,000,000",79.1,10.65,27.0,11.3,13.193887,-59.543198
Belarus,Minsk,47,"9,466,856","7,482,982","207,600",42.00,42.60,"58,280","63,080,457,023",74.2,9.9,2.0,2.6,53.709807,27.953389
Belgium,City of Brussels,383,"11,484,055","11,259,082","30,528",44.60,22.60,"96,889","529,606,710,418",81.6,10.3,5.0,2.9,50.503887,4.469936
Belize,Belmopan,17,"390,353","179,039","22,966",7.00,59.70,568,"1,879,613,600",74.5,20.79,36.0,11.2,17.189877,-88.49765
Benin,Porto-Novo,108,"11,801,151","5,648,149","112,622",33.30,37.80,"6,476","14,390,709,095",61.5,36.22,397.0,60.5,9.30769,2.315834
